"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"fin1.t.a.1","Economic Opportunities","Financial institution account,male(% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, male (% age 15+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, male (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin1.t.a.2","Economic Opportunities","Financial institution account,female(% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution,female (% age 15+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution,female (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin18.t.d.1","Economic Opportunities","Saved any money in the past year, male  (% age 15+)","The percentage of respondents who report personally saving or setting aside any money for any reason and using any mode of saving in the past 12 months., male (% age 15+).","The percentage of respondents who report personally saving or setting aside any money for any reason and using any mode of saving in the past 12 months., male (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin18.t.d.2","Economic Opportunities","Saved any money in the past year, female  (% age 15+)","The percentage of respondents who report personally saving or setting aside any money for any reason and using any mode of saving in the past 12 months., female (% age 15+).","The percentage of respondents who report personally saving or setting aside any money for any reason and using any mode of saving in the past 12 months., female (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"FP.CPI.TOTL.ZG","Financial Sector: Exchange rates & prices","Inflation, consumer prices (annual %)","","Inflation as measured by the consumer price index reflects the annual percentage change in the cost to the average consumer of acquiring a basket of goods and services that may be fixed or changed at specified intervals, such as yearly. The Laspeyres formula is generally used.","","Annual","","","Median","","","","International Monetary Fund, International Financial Statistics and data files.","","","","","","CC BY-4.0",
"FX.OWN.TOTL.FE.ZS","Financial Sector: Access","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","","Account denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution or report personally using a mobile money service in the past 12 months (female, % age 15+).","","Annual","","","Weighted average","","","Each economy is classified based on the classification of World Bank Group's fiscal year 2018 (July 1, 2017-June 30, 2018).","Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.","","","","","","CC BY-4.0",
"FX.OWN.TOTL.MA.ZS","Financial Sector: Access","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","","Account denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution or report personally using a mobile money service in the past 12 months (male, % age 15+).","","Annual","","","Weighted average","","","Each economy is classified based on the classification of World Bank Group's fiscal year 2018 (July 1, 2017-June 30, 2018).","Demirguc-Kunt et al., 2018, Global Financial Inclusion Database, World Bank.","","","","","","CC BY-4.0",
"HD.HCI.AMRT","","Survival Rate from Age 15-60","","Adult survival rate is calculated by subtracting the mortality rate for 15-60 year-olds from 1. Most recent estimates are used.  Year of most recent estimate shown in data notes.","","","","","","","","","United Nations Population Division, World Population Prospects: 2019 Revision, supplemented with data provided by World Bank Staff.","","","","","","CC BY-4.0",
"HD.HCI.AMRT.FE","","Survival Rate from Age 15-60, Female","","Adult survival rate is calculated by subtracting the mortality rate for 15-60 year-olds from 1. Most recent estimates are used.  Year of most recent estimate shown in data notes.","","","","","","","","","United Nations Population Division, World Population Prospects: 2019 Revision, supplemented with data provided by World Bank Staff.","","","","","","CC BY-4.0",
"HD.HCI.AMRT.MA","","Survival Rate from Age 15-60, Male","","Adult survival rate is calculated by subtracting the mortality rate for 15-60 year-olds from 1. Most recent estimates are used.  Year of most recent estimate shown in data notes.","","","","","","","","","United Nations Population Division, World Population Prospects: 2019 Revision, supplemented with data provided by World Bank Staff.","","","","","","CC BY-4.0",
"HD.HCI.EYRS","","Expected Years of School","","Expected years of school is calculated as the sum of age-specific enrollment rates between ages 4 and 17. Age-specific enrollment rates are approximated using school enrollment rates at different levels: pre-primary enrollment rates approximate the age-specific enrolment rates for 4 and 5 year-olds; the primary rate approximates for 6-11 year-olds; the lower-secondary rate approximates for 12-14 year-olds; and the upper-secondary approximates for 15-17 year-olds. Most recent estimates are used.  Year of most recent primary enrollment rate used is shown  in data notes.","","","","","","","","","World Bank staff estimates based on data from UNESCO Institute for Statistics, supplemented with data provided by World Bank staff.","","","","","","CC BY-4.0",
"HD.HCI.EYRS.FE","","Expected Years of School, Female","","Expected years of school is calculated as the sum of age-specific enrollment rates between ages 4 and 17. Age-specific enrollment rates are approximated using school enrollment rates at different levels: pre-primary enrollment rates approximate the age-specific enrolment rates for 4 and 5 year-olds; the primary rate approximates for 6-11 year-olds; the lower-secondary rate approximates for 12-14 year-olds; and the upper-secondary approximates for 15-17 year-olds. Most recent estimates are used.  Year of most recent primary enrollment rate used is shown  in data notes.","","","","","","","","","World Bank staff estimates based on data from UNESCO Institute for Statistics, supplemented with data provided by World Bank staff.","","","","","","CC BY-4.0",
"HD.HCI.EYRS.MA","","Expected Years of School, Male","","Expected years of school is calculated as the sum of age-specific enrollment rates between ages 4 and 17. Age-specific enrollment rates are approximated using school enrollment rates at different levels: pre-primary enrollment rates approximate the age-specific enrolment rates for 4 and 5 year-olds; the primary rate approximates for 6-11 year-olds; the lower-secondary rate approximates for 12-14 year-olds; and the upper-secondary approximates for 15-17 year-olds. Most recent estimates are used.  Year of most recent primary enrollment rate used is shown  in data notes.","","","","","","","","","World Bank staff estimates based on data from UNESCO Institute for Statistics, supplemented with data provided by World Bank staff.","","","","","","CC BY-4.0",
