date,total_attempts_date,total_shots_made_date,attempt_index,shot_made,three_pointer,two_pointer,shot_distance,distance_from_midline_feet,distance_from_baseline_feet
28oct2015,19,6,1,1,0,1,17.8,-6.916667,18.33333
28oct2015,19,6,2,0,0,1,13.5,7.583333,13.41667
28oct2015,19,6,3,1,0,1,15.9,-11.5,11.66667
28oct2015,19,6,4,1,0,1,18.4,6.416667,19
28oct2015,19,6,5,0,1,0,24.8,15.08333,19.16667
28oct2015,19,6,6,0,0,1,17.6,4.666667,19.08333
28oct2015,19,6,7,0,0,1,18.1,5.666667,19.16667
28oct2015,19,6,8,1,0,1,5.4,1.5,9.416667
28oct2015,19,6,9,0,0,1,12.1,-2,66.83334
28oct2015,19,6,10,0,0,1,4.8,.9166667,73.41666
28oct2015,19,6,11,1,1,0,23.9,-18.91667,11.41667
28oct2015,19,6,12,0,1,0,24.7,-2.25,25.58333
28oct2015,19,6,13,0,0,1,12.8,6.583333,13.58333
28oct2015,19,6,14,0,0,1,8.1,6.416667,7.25
28oct2015,19,6,15,0,1,0,23.8,19,11
28oct2015,19,6,16,0,0,1,4.3,3.5,6
28oct2015,19,6,17,1,1,0,24.8,2.916667,25.66667
28oct2015,19,6,18,0,0,1,16.1,-2.416667,18.41667
28oct2015,19,6,19,0,1,0,24.9,16.33333,18
30oct2015,30,15,1,1,0,1,18.2,-10.58333,14.33333
30oct2015,30,15,2,0,0,1,20.2,6.166667,18.41667
30oct2015,30,15,3,0,0,1,4,-1.333333,7.083333
30oct2015,30,15,4,1,0,1,5.5,0,5.25
30oct2015,30,15,5,0,0,1,12.1,10.58333,7.333333
30oct2015,30,15,6,1,0,1,16.2,-4.833333,18.41667
30oct2015,30,15,7,1,0,1,19.2,-15.08333,9.916667
30oct2015,30,15,8,1,0,1,4.5,.3333333,6.25
30oct2015,30,15,9,1,0,1,1,.75,6.25
30oct2015,30,15,10,1,0,1,15.1,7.166667,15.16667
30oct2015,30,15,11,0,1,0,24.6,-12.08333,22.25
30oct2015,30,15,12,0,1,0,25.6,7.583333,24.25
30oct2015,30,15,13,1,0,1,1.1,.5,6.083333
30oct2015,30,15,14,1,0,1,3,0,5.25
30oct2015,30,15,15,0,0,1,14,12.08333,5.416667
30oct2015,30,15,16,1,1,0,24.9,-12.58333,22.5
30oct2015,30,15,17,0,1,0,24.4,5,25.08333
30oct2015,30,15,18,0,0,1,13,-8.916667,11.41667
30oct2015,30,15,19,0,1,0,26.7,.0833333,25.91667
30oct2015,30,15,20,0,0,1,6,-1,6.5
30oct2015,30,15,21,1,0,1,2.9,0,5.25
30oct2015,30,15,22,1,1,0,25.7,-6.916667,24.5
30oct2015,30,15,23,1,1,0,25.9,-2.666667,26.58333
30oct2015,30,15,24,0,1,0,25.4,-7.166667,25.33333
30oct2015,30,15,25,0,0,1,18.9,.8333333,20.16667
30oct2015,30,15,26,0,1,0,22.9,.3333333,25.91667
30oct2015,30,15,27,1,0,1,19.7,9.916667,17.58333
30oct2015,30,15,28,0,0,1,13.5,-2.833333,14.75
30oct2015,30,15,29,1,0,1,14.7,1.166667,16.75
30oct2015,30,15,30,0,0,1,6.1,1.583333,7.083333
01nov2015,11,8,1,1,0,1,19.1,-13.33333,13.91667
01nov2015,11,8,2,1,0,1,4,-.4166667,8.416667
01nov2015,11,8,3,1,0,1,9.3,7.666667,6.333333
01nov2015,11,8,4,1,1,0,16.3,-11.91667,21
01nov2015,11,8,5,0,1,0,23.1,19.08333,8
01nov2015,11,8,6,1,0,1,14.6,-4.583333,16.41667
01nov2015,11,8,7,1,1,0,25.4,7,25.16667
01nov2015,11,8,8,1,0,1,12.6,-3.666667,15
01nov2015,11,8,9,0,1,0,25.7,11.66667,23.16667
01nov2015,11,8,10,0,0,1,18.7,-14.16667,11.66667
01nov2015,11,8,11,1,1,0,25.4,10.41667,23.58333
02nov2015,19,9,1,1,0,1,5.3,-.0833333,6.916667
02nov2015,19,9,2,0,0,1,19.1,14,12
02nov2015,19,9,3,0,1,0,25.6,-10.41667,23.75
02nov2015,19,9,4,0,0,1,10.5,-5.083333,11.83333
02nov2015,19,9,5,1,1,0,25,14.41667,20.41667
02nov2015,19,9,6,1,0,1,1.5,-1.583333,6.083333
02nov2015,19,9,7,1,0,1,2.7,0,5.25
02nov2015,19,9,8,1,1,0,26.3,-4.583333,26.58333
02nov2015,19,9,9,0,1,0,26,11.75,22.91667
02nov2015,19,9,10,1,1,0,26.8,-2.083333,26.58333
02nov2015,19,9,11,0,0,1,13.9,-10.41667,8.583333
02nov2015,19,9,12,1,1,0,25,6.833333,25.08333
02nov2015,19,9,13,1,0,1,12.7,8,13.08333
02nov2015,19,9,14,0,1,0,25,18.08333,15.16667
02nov2015,19,9,15,1,0,1,15.5,8.416667,14.75
02nov2015,19,9,16,0,0,1,8.4,5.333333,9.833333
02nov2015,19,9,17,0,1,0,27.5,-1.583333,28.25
02nov2015,19,9,18,0,0,1,11.1,-5.666667,13.5
02nov2015,19,9,19,0,1,0,26.7,-11.41667,23.75
04nov2015,18,10,1,0,1,0,24.7,5.5,24.5
04nov2015,18,10,2,1,1,0,24.3,14.25,20.41667
04nov2015,18,10,3,1,0,1,1.9,-1.583333,5.333333
04nov2015,18,10,4,0,1,0,24.8,11.75,21.83333
04nov2015,18,10,5,1,0,1,4,0,5.25
04nov2015,18,10,6,0,0,1,16.3,5.75,17.33333
04nov2015,18,10,7,1,0,1,11.6,6.166667,9.833333
04nov2015,18,10,8,0,0,1,16.7,8.5,13.91667
04nov2015,18,10,9,1,0,1,5,.1666667,6.25
04nov2015,18,10,10,0,0,1,3.6,-2.666667,5.166667
04nov2015,18,10,11,1,0,1,17.6,8.5,15.66667
04nov2015,18,10,12,1,0,1,19.3,-11.5,13.5
04nov2015,18,10,13,1,1,0,25,2.666667,25.33333
04nov2015,18,10,14,0,0,1,11.2,.8333333,13.91667
04nov2015,18,10,15,0,1,0,25.7,-8,24.91667
04nov2015,18,10,16,1,0,1,3.4,-1.333333,5.083333
04nov2015,18,10,17,1,0,1,19.1,-4.333333,18.5
04nov2015,18,10,18,0,0,1,15.7,11.41667,5.416667
05nov2015,29,13,1,1,1,0,25.4,14.5,20.83333
05nov2015,29,13,2,0,0,1,7.3,2.5,5.75
05nov2015,29,13,3,0,0,1,12.8,-5,13.25
05nov2015,29,13,4,0,0,1,11,4,11.41667
05nov2015,29,13,5,0,0,1,6,-.1666667,6.916667
05nov2015,29,13,6,0,0,1,8.1,-2.916667,13.08333
05nov2015,29,13,7,1,0,1,18.9,11.5,14.83333
05nov2015,29,13,8,0,0,1,16.8,8.083333,17.58333
05nov2015,29,13,9,0,0,1,21.4,10,19.33333
05nov2015,29,13,10,1,0,1,11.1,-10.41667,17.58333
05nov2015,29,13,11,1,0,1,3.8,-.1666667,6.25
