date,total_attempts_date,total_shots_made_date,attempt_index,shot_made,three_pointer,two_pointer,shot_distance,distance_from_midline_feet,distance_from_baseline_feet
27oct2015,22,12,1,1,0,1,19.4,-15.91667,10.58333
27oct2015,22,12,2,0,0,1,21.1,1.583333,23
27oct2015,22,12,3,0,0,1,9.4,-2.25,10.58333
27oct2015,22,12,4,1,0,1,4.2,0,5.25
27oct2015,22,12,5,1,0,1,1.7,1.583333,6.916667
27oct2015,22,12,6,0,0,1,23,-7.666667,22.91667
27oct2015,22,12,7,1,0,1,4.1,1.833333,5.75
27oct2015,22,12,8,0,0,1,3.8,-1.833333,6.25
27oct2015,22,12,9,0,1,0,25.1,9.583333,23.33333
27oct2015,22,12,10,0,0,1,2.5,-1,6.916667
27oct2015,22,12,11,1,0,1,5.5,.3333333,6.25
27oct2015,22,12,12,0,1,0,23.8,-14.83333,20.83333
27oct2015,22,12,13,1,1,0,26.2,-8.916667,25.75
27oct2015,22,12,14,1,0,1,5.9,1.666667,5.416667
27oct2015,22,12,15,1,0,1,2,1.583333,5.833333
27oct2015,22,12,16,1,0,1,4.7,-1.833333,5.416667
27oct2015,22,12,17,1,0,1,23.5,-6.916667,21.66667
27oct2015,22,12,18,0,1,0,0,-7.166667,24.5
27oct2015,22,12,19,1,0,1,6,5.5,5.333333
27oct2015,22,12,20,1,0,1,7.5,-.5833333,9.5
27oct2015,22,12,21,0,1,0,23.2,-20,6.083333
27oct2015,22,12,22,0,0,1,5.5,1.833333,6.083333
28oct2015,13,4,1,0,0,1,16.9,12.66667,11.25
28oct2015,13,4,2,1,0,1,2.7,1.5,6.833333
28oct2015,13,4,3,0,1,0,24.5,16.58333,17.08333
28oct2015,13,4,4,1,0,1,3.5,-2.916667,5.083333
28oct2015,13,4,5,0,0,1,18.5,-6.833333,18.91667
28oct2015,13,4,6,0,0,1,20.6,-4.75,21.66667
28oct2015,13,4,7,0,0,1,14,-11.58333,5.666667
28oct2015,13,4,8,0,0,1,22.1,17.83333,9.75
28oct2015,13,4,9,1,0,1,1.4,.5,4.166667
28oct2015,13,4,10,0,1,0,25.7,-17.33333,17.75
28oct2015,13,4,11,1,0,1,21.9,-18,8.083333
28oct2015,13,4,12,0,0,1,22,1.5,23.5
28oct2015,13,4,13,0,1,0,23.6,19.41667,8.25
30oct2015,19,13,1,1,0,1,2.9,-2.166667,4
30oct2015,19,13,2,1,0,1,7.1,2.166667,10.66667
30oct2015,19,13,3,0,0,1,4.9,1.583333,74.16666
30oct2015,19,13,4,1,0,1,8.8,-1.333333,12.33333
30oct2015,19,13,5,1,0,1,15.3,12.75,4.083333
30oct2015,19,13,6,1,0,1,14.4,-11,9.833333
30oct2015,19,13,7,1,0,1,5.6,-4.666667,5.25
30oct2015,19,13,8,0,1,0,27.5,-.5,28.08333
30oct2015,19,13,9,0,0,1,1.3,-.75,6
30oct2015,19,13,10,1,0,1,19.7,-15.08333,11.75
30oct2015,19,13,11,1,0,1,9.2,2.25,12.5
30oct2015,19,13,12,0,0,1,5.5,-1.833333,9.333333
30oct2015,19,13,13,1,0,1,3.2,1.166667,7.583333
30oct2015,19,13,14,0,1,0,24,-19.66667,8.583333
30oct2015,19,13,15,1,0,1,1.7,-1.25,5.833333
30oct2015,19,13,16,1,0,1,5.3,-3.833333,7.25
30oct2015,19,13,17,1,0,1,10.3,-5.75,11.5
30oct2015,19,13,18,0,0,1,1.4,-1.083333,4.666667
30oct2015,19,13,19,1,0,1,20.1,0,21.91667
02nov2015,19,9,1,1,0,1,4,-2,5.083333
02nov2015,19,9,2,0,1,0,23,19.41667,3.416667
02nov2015,19,9,3,0,0,1,17.3,6.583333,18.16667
02nov2015,19,9,4,0,0,1,8.7,-7.666667,2.583333
