date,total_attempts_date,total_shots_made_date,attempt_index,shot_made,three_pointer,two_pointer,shot_distance,distance_from_midline_feet,distance_from_baseline_feet
27oct2015,26,14,1,1,0,1,1.7,1,7.75
27oct2015,26,14,2,0,1,0,27.1,-14.66667,21.41667
27oct2015,26,14,3,0,0,1,1.5,1.666667,5.916667
27oct2015,26,14,4,1,1,0,28.3,-16.41667,21.25
27oct2015,26,14,5,1,0,1,3.9,-.3333333,5.833333
27oct2015,26,14,6,1,1,0,25,-.9166667,26.75
27oct2015,26,14,7,1,0,1,22.8,-9.75,20.83333
27oct2015,26,14,8,1,1,0,27.7,-14.91667,24.16667
27oct2015,26,14,9,1,1,0,24.5,7.416667,25.08333
27oct2015,26,14,10,0,1,0,25.8,-13,24.5
27oct2015,26,14,11,1,0,1,3.7,-1.583333,6.916667
27oct2015,26,14,12,1,0,1,4.9,1,6.666667
27oct2015,26,14,13,0,1,0,37.7,-15.5,33.91667
27oct2015,26,14,14,0,1,0,23.9,13.66667,20.58333
27oct2015,26,14,15,1,0,1,10.8,-8,12.25
27oct2015,26,14,16,0,1,0,23.9,13.83333,19.66667
27oct2015,26,14,17,0,1,0,23.4,17,17.75
27oct2015,26,14,18,1,0,1,4.4,-.75,5.833333
27oct2015,26,14,19,1,0,1,2.6,.8333333,6.083333
27oct2015,26,14,20,1,0,1,1.1,-.5833333,6.25
27oct2015,26,14,21,0,0,1,3.8,3.5,10.25
27oct2015,26,14,22,0,1,0,25.2,13.41667,22.08333
27oct2015,26,14,23,0,0,1,5.7,1.666667,7.083333
27oct2015,26,14,24,1,1,0,25.2,15.33333,19.33333
27oct2015,26,14,25,0,0,1,13.5,-10.16667,8.75
27oct2015,26,14,26,0,0,1,2,.5,5.75
30oct2015,15,9,1,0,0,1,19.6,-9.083333,18
30oct2015,15,9,2,1,1,0,25.6,17.41667,15.5
30oct2015,15,9,3,1,1,0,24.1,19,12.41667
30oct2015,15,9,4,1,1,0,28.8,-4.333333,29.16667
30oct2015,15,9,5,0,1,0,25.1,-10.75,23
30oct2015,15,9,6,0,1,0,23.9,18.5,14
30oct2015,15,9,7,0,1,0,22.8,-19.58333,3.833333
30oct2015,15,9,8,1,1,0,23.5,-20,13.5
30oct2015,15,9,9,1,0,1,4.1,1.166667,5.083333
